"times","S","E","On","Of","A","Q","Bs","Bp","v","w","N","POUD","actPOUD","prop.OAT","prop.capacity","dsct","cost","qaly","inj","du.init","date","B_total","O_total","active_users","coverage_rate","capacity_utilization","waiting_change","patients_change"
1,38432.2091192631,31110.5422114182,5385.75638788934,162.9913612525,2547.40567922116,1893.09524095567,142,0,0.952420013055388,0.970620602899812,79674,10131.2486693187,7441.84299009752,0.0140160413227276,0.172732903625165,0.999918337169182,461.272602017116,172.592905958892,10702.5717087322,2.63014557245954,0.00273972602739726,142,5548.74774914184,7441.84299009752,1.40160413227276,8.11428571428571,NA,NA
2,38429.4874180587,31110.640488891,5386.55831656708,163.241282494156,2547.40901075277,887.470340828062,303.09489519227,843.450536350161,0.952202929437835,0.970552948985624,79671.3522891342,10131.2243821845,6437.26993988932,0.113169483597521,0.172733317710081,0.999836681007183,1287.39921382228,172.696689795463,9467.656896965,2.41423007706212,0.00547945205479452,1146.54543154243,5549.79959906124,6437.26993988932,11.3169483597521,65.5168818024246,-1005.62490012761,1004.54543154243
3,38426.9008587459,31110.7385623687,5386.92518543886,163.770136064372,2547.4050091431,510.121546099063,363.454715773813,1159.53075930439,0.951985412071559,0.970433910041073,79668.8467729382,10131.2073518236,6060.8168676023,0.150326157800341,0.172733608071401,0.999755031513456,1596.8645235708,172.723298830583,9004.69986987034,2.33326672334224,0.00821917808219178,1522.98547507821,5550.69532150324,6060.8168676023,15.0326157800341,87.0277414330404,-377.348794728999,376.440043535776
4,38424.3651210259,31110.8364381226,5387.12854190112,164.403147114812,2547.39823348724,368.211691006908,386.070627494145,1277.98074878096,0.951766843293205,0.970295644776676,79666.3945489337,10131.1929897852,5919.74338002284,0.164250288979086,0.172733852939574,0.999673388687459,1712.73266944676,172.720991334708,8831.02388414244,2.30287412743751,0.010958904109589,1664.05137627511,5551.53168901593,5919.74338002284,16.4250288979086,95.0886500728633,-141.909855092156,141.0659011969
5,38421.8486074341,31110.9341185268,5387.27013048815,165.074836737362,2547.39039206842,314.53026977217,394.544467442353,1322.36947964961,0.951546990917361,0.970150200947746,79663.9623021189,10131.1795761581,5866.87523699767,0.169468316515918,0.172734081638264,0.999591752528646,1756.0583984604,172.707849976268,8765.7522417994,2.29143198615124,0.0136986301369863,1716.91394709196,5552.34496722552,5866.87523699767,16.9468316515918,98.1093684052548,-53.6814212347377,52.8625708168524
6,38419.3394773887,31111.0316044948,5387.38807357792,165.760673864052,2547.38212501173,293.912101358297,397.719486999189,1339.00400546492,0.951325767210217,0.970002092136779,79661.5375481596,10131.1664662761,5847.06084880024,0.171423843270683,0.172734305158767,0.999510123036472,1772.20190407036,172.69065044143,8741.1038025158,2.28709118013869,0.0164383561643836,1736.72349246411,5553.14874744197,5847.06084880024,17.1423843270683,99.2413424265206,-20.6181684138734,19.8095453721517
7,38416.8332938339,31111.1288963931,5387.49665557286,166.451468444604,2547.37367220006,285.684766362762,398.909118701492,1345.23773722873,0.951103138752909,0.969853009330522,79659.1156087375,10131.1534185105,5839.63289038021,0.172156790434495,0.172734527620774,0.999428500210394,1778.16001793089,172.67193162108,8731.67848394317,2.28541147021202,0.0191780821917808,1744.14685593023,5553.94812401746,5839.63289038021,17.2156790434495,99.6655346245844,-8.22733499553431,7.42336346611523
8,38414.3283940489,31111.2259943829,5387.60122927668,167.143777882122,2547.36512354171,282.101549240945,399.354855604112,1347.57380675751,0.950879092582028,0.96970358605296,79656.6947307349,10131.1403423031,5836.84655639975,0.172431592430641,0.172734750568284,0.999346884049867,1780.30159045939,172.652644853039,8727.95794232217,2.28472895817203,0.0219178082191781,1746.92866236163,5554.7450071588,5836.84655639975,17.2431592430641,99.8244949920929,-3.58321712181686,2.78180643139945
9,38411.8241549441,31111.3228985485,5387.70380101204,167.836312834837,2547.35651274765,280.259470145177,399.521866376553,1348.44924060502,0.950653623449102,0.969554059657583,79654.2742572139,10131.1272037213,5835.79958399207,0.172534711274726,0.172734974579848,0.999265274554347,1781.01308147187,172.633146609304,8726.37530451739,2.28442012863123,0.0246575342465753,1747.97110698157,5555.54011384688,5835.79958399207,17.2534711274726,99.8840632560899,-1.84207909576895,1.04244461994699
10,38409.3203430128,31111.4196089457,5387.80512324726,168.528590665108,2547.34785247101,279.070674798616,399.584442683325,1348.77730619219,0.950426729023673,0.969404519075729,79651.8539420159,10131.1139900575,5835.40438871098,0.172573494937608,0.172735199872138,0.999183671723289,1781.18871678517,172.613570462008,8725.59393198152,2.28425133060389,0.0273972602739726,1748.36174887551,5556.33371391237,5835.40438871098,17.2573494937608,99.9063856500294,-1.18879534656088,0.390641893941392
