"Parameter","Mean","CI_low","CI_high"
"S0",38432.209,31756.307,42812.838
"E0",31110.542,30661.54,31405.171
"On0",5385.756,2884.126,9192.047
"Of0",162.991,21.066,370.3
"A0",2547.406,1279.912,4515.406
"Q0",1893.095,963.313,3330.989
"v0",0.952,0.911,0.993
"w0",0.971,0.945,0.996
"lam",0.025,0.013,0.044
"lam0",0.01,0.001,0.022
"alp.f",0.202,0.161,0.261
"alp0.f",0.198,0.158,0.256
"irr.alp",0.233,0.146,0.342
"rho.n",0.264,0.209,0.331
"rho.f",0.298,0.252,0.357
"dlt",0.168,0.119,0.229
"gam",0.099,0.074,0.13
"inj.On",525.434,461.412,602.119
"inj.Q",530.229,469.418,602.836
"inj.OAT",81.582,20.4,162.585
